LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag_Codes
NLD;UNEMP;TOT;PC_LF;A;2002;2.755692;
NLD;UNEMP;TOT;PC_LF;A;2003;3.682191;
NLD;UNEMP;TOT;PC_LF;A;2004;4.557948;
NLD;UNEMP;TOT;PC_LF;A;2005;4.724458;
NLD;UNEMP;TOT;PC_LF;A;2006;3.9061;
NLD;UNEMP;TOT;PC_LF;A;2007;3.179788;
NLD;UNEMP;TOT;PC_LF;A;2008;2.751209;
NLD;UNEMP;TOT;PC_LF;A;2009;3.413028;B
NLD;UNEMP;TOT;PC_LF;A;2010;4.450514;B
NLD;UNEMP;TOT;PC_LF;A;2011;4.976648;
NLD;UNEMP;TOT;PC_LF;A;2012;5.820699;
NLD;UNEMP;TOT;PC_LF;A;2013;7.242696;
NLD;UNEMP;TOT;PC_LF;A;2014;7.416319;
NLD;UNEMP;TOT;PC_LF;A;2015;6.87228;
POL;UNEMP;TOT;PC_LF;A;2000;16.10612;
POL;UNEMP;TOT;PC_LF;A;2001;18.24322;
POL;UNEMP;TOT;PC_LF;A;2002;19.93272;
POL;UNEMP;TOT;PC_LF;A;2003;19.61964;
POL;UNEMP;TOT;PC_LF;A;2004;18.97837;
POL;UNEMP;TOT;PC_LF;A;2005;17.75269;
POL;UNEMP;TOT;PC_LF;A;2006;13.84889;
POL;UNEMP;TOT;PC_LF;A;2007;9.607605;
POL;UNEMP;TOT;PC_LF;A;2008;7.120995;
POL;UNEMP;TOT;PC_LF;A;2009;8.166371;B
POL;UNEMP;TOT;PC_LF;A;2010;9.640347;
POL;UNEMP;TOT;PC_LF;A;2011;9.632815;
POL;UNEMP;TOT;PC_LF;A;2012;10.08882;
POL;UNEMP;TOT;PC_LF;A;2013;10.32862;
POL;UNEMP;TOT;PC_LF;A;2014;8.990872;
POL;UNEMP;TOT;PC_LF;A;2015;7.50308;
PRT;UNEMP;TOT;PC_LF;A;2000;4.035069;
PRT;UNEMP;TOT;PC_LF;A;2001;4.00995;
PRT;UNEMP;TOT;PC_LF;A;2002;4.993313;
PRT;UNEMP;TOT;PC_LF;A;2003;6.264945;
PRT;UNEMP;TOT;PC_LF;A;2004;6.622547;
PRT;UNEMP;TOT;PC_LF;A;2005;7.580669;
PRT;UNEMP;TOT;PC_LF;A;2006;7.647437;
PRT;UNEMP;TOT;PC_LF;A;2007;7.963667;
PRT;UNEMP;TOT;PC_LF;A;2008;7.551991;
PRT;UNEMP;TOT;PC_LF;A;2009;9.432886;
PRT;UNEMP;TOT;PC_LF;A;2010;10.76982;B
PRT;UNEMP;TOT;PC_LF;A;2011;12.68106;
PRT;UNEMP;TOT;PC_LF;A;2012;15.53028;
PRT;UNEMP;TOT;PC_LF;A;2013;16.1838;
PRT;UNEMP;TOT;PC_LF;A;2014;13.89509;
PRT;UNEMP;TOT;PC_LF;A;2015;12.44469;
SVK;UNEMP;TOT;PC_LF;A;2000;18.7575;
SVK;UNEMP;TOT;PC_LF;A;2001;19.30597;
SVK;UNEMP;TOT;PC_LF;A;2002;18.67133;
SVK;UNEMP;TOT;PC_LF;A;2003;17.55515;
SVK;UNEMP;TOT;PC_LF;A;2004;18.22449;
SVK;UNEMP;TOT;PC_LF;A;2005;16.25893;
SVK;UNEMP;TOT;PC_LF;A;2006;13.37262;
SVK;UNEMP;TOT;PC_LF;A;2007;11.14481;
SVK;UNEMP;TOT;PC_LF;A;2008;9.512194;
SVK;UNEMP;TOT;PC_LF;A;2009;12.01791;
SVK;UNEMP;TOT;PC_LF;A;2010;14.38103;B
SVK;UNEMP;TOT;PC_LF;A;2011;13.61758;
SVK;UNEMP;TOT;PC_LF;A;2012;13.96335;
SVK;UNEMP;TOT;PC_LF;A;2013;14.22133;
SVK;UNEMP;TOT;PC_LF;A;2014;13.18428;
SVK;UNEMP;TOT;PC_LF;A;2015;11.48227;
ESP;UNEMP;TOT;PC_LF;A;2000;13.91963;B
ESP;UNEMP;TOT;PC_LF;A;2001;10.54965;
ESP;UNEMP;TOT;PC_LF;A;2002;11.44908;
ESP;UNEMP;TOT;PC_LF;A;2003;11.48588;
ESP;UNEMP;TOT;PC_LF;A;2004;10.96565;
ESP;UNEMP;TOT;PC_LF;A;2005;9.151379;
ESP;UNEMP;TOT;PC_LF;A;2006;8.454682;
ESP;UNEMP;TOT;PC_LF;A;2007;8.231978;
ESP;UNEMP;TOT;PC_LF;A;2008;11.2443;
ESP;UNEMP;TOT;PC_LF;A;2009;17.85731;
ESP;UNEMP;TOT;PC_LF;A;2010;19.8598;
ESP;UNEMP;TOT;PC_LF;A;2011;21.39048;
ESP;UNEMP;TOT;PC_LF;A;2012;24.78815;
ESP;UNEMP;TOT;PC_LF;A;2013;26.0919;
ESP;UNEMP;TOT;PC_LF;A;2014;24.44284;
ESP;UNEMP;TOT;PC_LF;A;2015;22.05655;
SWE;UNEMP;TOT;PC_LF;A;2001;4.850808;
SWE;UNEMP;TOT;PC_LF;A;2002;5.072618;
SWE;UNEMP;TOT;PC_LF;A;2003;5.677462;
SWE;UNEMP;TOT;PC_LF;A;2004;6.525636;
SWE;UNEMP;TOT;PC_LF;A;2005;7.475815;
SWE;UNEMP;TOT;PC_LF;A;2006;7.068759;
SWE;UNEMP;TOT;PC_LF;A;2007;6.163466;
SWE;UNEMP;TOT;PC_LF;A;2008;6.234297;
SWE;UNEMP;TOT;PC_LF;A;2009;8.346865;
SWE;UNEMP;TOT;PC_LF;A;2010;8.610753;
SWE;UNEMP;TOT;PC_LF;A;2011;7.80387;
SWE;UNEMP;TOT;PC_LF;A;2012;7.975423;
SWE;UNEMP;TOT;PC_LF;A;2013;8.052903;
SWE;UNEMP;TOT;PC_LF;A;2014;7.955972;
SWE;UNEMP;TOT;PC_LF;A;2015;7.432082;
GBR;UNEMP;TOT;PC_LF;A;2000;5.57515;
GBR;UNEMP;TOT;PC_LF;A;2001;5.01319;
GBR;UNEMP;TOT;PC_LF;A;2002;5.132106;
GBR;UNEMP;TOT;PC_LF;A;2003;4.966743;
GBR;UNEMP;TOT;PC_LF;A;2004;4.690948;
GBR;UNEMP;TOT;PC_LF;A;2005;4.74926;B
GBR;UNEMP;TOT;PC_LF;A;2006;5.348789;
GBR;UNEMP;TOT;PC_LF;A;2007;5.262478;
GBR;UNEMP;TOT;PC_LF;A;2008;5.61258;
GBR;UNEMP;TOT;PC_LF;A;2009;7.536723;
GBR;UNEMP;TOT;PC_LF;A;2010;7.786648;
GBR;UNEMP;TOT;PC_LF;A;2011;8.036335;
GBR;UNEMP;TOT;PC_LF;A;2012;7.886268;
GBR;UNEMP;TOT;PC_LF;A;2013;7.52635;
GBR;UNEMP;TOT;PC_LF;A;2014;6.111898;
GBR;UNEMP;TOT;PC_LF;A;2015;5.301425;
EST;UNEMP;TOT;PC_LF;A;2000;14.62371;
EST;UNEMP;TOT;PC_LF;A;2001;13.01181;
EST;UNEMP;TOT;PC_LF;A;2002;11.21852;
EST;UNEMP;TOT;PC_LF;A;2003;10.35088;
EST;UNEMP;TOT;PC_LF;A;2004;10.13928;
EST;UNEMP;TOT;PC_LF;A;2005;8.033425;
EST;UNEMP;TOT;PC_LF;A;2006;5.914059;
EST;UNEMP;TOT;PC_LF;A;2007;4.592134;
EST;UNEMP;TOT;PC_LF;A;2008;5.434531;
EST;UNEMP;TOT;PC_LF;A;2009;13.54691;
EST;UNEMP;TOT;PC_LF;A;2010;16.70262;
EST;UNEMP;TOT;PC_LF;A;2011;12.33337;
EST;UNEMP;TOT;PC_LF;A;2012;10.02366;
EST;UNEMP;TOT;PC_LF;A;2013;8.631536;
EST;UNEMP;TOT;PC_LF;A;2014;7.355543;
EST;UNEMP;TOT;PC_LF;A;2015;6.191967;
SVN;UNEMP;TOT;PC_LF;A;2000;6.731878;
SVN;UNEMP;TOT;PC_LF;A;2001;6.175611;
SVN;UNEMP;TOT;PC_LF;A;2002;6.310935;
SVN;UNEMP;TOT;PC_LF;A;2003;6.675458;
SVN;UNEMP;TOT;PC_LF;A;2004;6.294299;
SVN;UNEMP;TOT;PC_LF;A;2005;6.503201;
SVN;UNEMP;TOT;PC_LF;A;2006;5.952952;
SVN;UNEMP;TOT;PC_LF;A;2007;4.824745;
SVN;UNEMP;TOT;PC_LF;A;2008;4.375046;
SVN;UNEMP;TOT;PC_LF;A;2009;5.847313;
SVN;UNEMP;TOT;PC_LF;A;2010;7.237447;
SVN;UNEMP;TOT;PC_LF;A;2011;8.169436;
SVN;UNEMP;TOT;PC_LF;A;2012;8.838806;
SVN;UNEMP;TOT;PC_LF;A;2013;10.10859;
SVN;UNEMP;TOT;PC_LF;A;2014;9.673278;
SVN;UNEMP;TOT;PC_LF;A;2015;8.962607;
LVA;UNEMP;TOT;PC_LF;A;2002;12.4844;
LVA;UNEMP;TOT;PC_LF;A;2003;11.6386;
LVA;UNEMP;TOT;PC_LF;A;2004;11.74615;B
LVA;UNEMP;TOT;PC_LF;A;2005;10.03827;
LVA;UNEMP;TOT;PC_LF;A;2006;7.043975;B
LVA;UNEMP;TOT;PC_LF;A;2007;6.063879;
LVA;UNEMP;TOT;PC_LF;A;2008;7.739463;
LVA;UNEMP;TOT;PC_LF;A;2009;17.55346;
LVA;UNEMP;TOT;PC_LF;A;2010;19.48375;
LVA;UNEMP;TOT;PC_LF;A;2011;16.21216;
LVA;UNEMP;TOT;PC_LF;A;2012;15.0552;
LVA;UNEMP;TOT;PC_LF;A;2013;11.8683;
LVA;UNEMP;TOT;PC_LF;A;2014;10.84309;
LVA;UNEMP;TOT;PC_LF;A;2015;9.875636;
