"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","UNEMP","TOT","PC_LF","A","2015",4.624955,
"GRC","UNEMP","TOT","PC_LF","A","2010",12.71716,
"GRC","UNEMP","TOT","PC_LF","A","2011",17.87071,
"GRC","UNEMP","TOT","PC_LF","A","2012",24.44174,
"GRC","UNEMP","TOT","PC_LF","A","2013",27.46715,
"GRC","UNEMP","TOT","PC_LF","A","2014",26.49027,
"GRC","UNEMP","TOT","PC_LF","A","2015",24.90084,
"HUN","UNEMP","TOT","PC_LF","A","2010",11.17377,
"HUN","UNEMP","TOT","PC_LF","A","2011",11.03269,
"HUN","UNEMP","TOT","PC_LF","A","2012",11.00812,
"HUN","UNEMP","TOT","PC_LF","A","2013",10.18524,
"HUN","UNEMP","TOT","PC_LF","A","2014",7.728486,
"HUN","UNEMP","TOT","PC_LF","A","2015",6.817803,
"IRL","UNEMP","TOT","PC_LF","A","2010",13.85273,
"IRL","UNEMP","TOT","PC_LF","A","2011",14.62392,
"IRL","UNEMP","TOT","PC_LF","A","2012",14.67011,
"IRL","UNEMP","TOT","PC_LF","A","2013",13.04587,
"IRL","UNEMP","TOT","PC_LF","A","2014",11.26332,
"IRL","UNEMP","TOT","PC_LF","A","2015",9.397721,
"ITA","UNEMP","TOT","PC_LF","A","2010",8.359172,
"ITA","UNEMP","TOT","PC_LF","A","2011",8.353756,
"ITA","UNEMP","TOT","PC_LF","A","2012",10.65126,
"ITA","UNEMP","TOT","PC_LF","A","2013",12.14521,
"ITA","UNEMP","TOT","PC_LF","A","2014",12.6798,
"ITA","UNEMP","TOT","PC_LF","A","2015",11.89388,
"LUX","UNEMP","TOT","PC_LF","A","2010",4.351644,
"LUX","UNEMP","TOT","PC_LF","A","2011",4.896927,
"LUX","UNEMP","TOT","PC_LF","A","2012",5.138287,
"LUX","UNEMP","TOT","PC_LF","A","2013",5.836521,
"LUX","UNEMP","TOT","PC_LF","A","2014",5.854882,"B"
"LUX","UNEMP","TOT","PC_LF","A","2015",6.658826,
"NLD","UNEMP","TOT","PC_LF","A","2010",4.450514,"B"
"NLD","UNEMP","TOT","PC_LF","A","2011",4.976648,
"NLD","UNEMP","TOT","PC_LF","A","2012",5.820699,
"NLD","UNEMP","TOT","PC_LF","A","2013",7.242696,
"NLD","UNEMP","TOT","PC_LF","A","2014",7.416319,
"NLD","UNEMP","TOT","PC_LF","A","2015",6.87228,
"POL","UNEMP","TOT","PC_LF","A","2010",9.640347,
"POL","UNEMP","TOT","PC_LF","A","2011",9.632815,
"POL","UNEMP","TOT","PC_LF","A","2012",10.08882,
"POL","UNEMP","TOT","PC_LF","A","2013",10.32862,
"POL","UNEMP","TOT","PC_LF","A","2014",8.990872,
"POL","UNEMP","TOT","PC_LF","A","2015",7.50308,
"PRT","UNEMP","TOT","PC_LF","A","2010",10.76982,"B"
"PRT","UNEMP","TOT","PC_LF","A","2011",12.68106,
"PRT","UNEMP","TOT","PC_LF","A","2012",15.53028,
"PRT","UNEMP","TOT","PC_LF","A","2013",16.1838,
"PRT","UNEMP","TOT","PC_LF","A","2014",13.89509,
"PRT","UNEMP","TOT","PC_LF","A","2015",12.44469,
"SVK","UNEMP","TOT","PC_LF","A","2010",14.38103,"B"
"SVK","UNEMP","TOT","PC_LF","A","2011",13.61758,
"SVK","UNEMP","TOT","PC_LF","A","2012",13.96335,
"SVK","UNEMP","TOT","PC_LF","A","2013",14.22133,
"SVK","UNEMP","TOT","PC_LF","A","2014",13.18428,
"SVK","UNEMP","TOT","PC_LF","A","2015",11.48227,
"ESP","UNEMP","TOT","PC_LF","A","2010",19.8598,
"ESP","UNEMP","TOT","PC_LF","A","2011",21.39048,
"ESP","UNEMP","TOT","PC_LF","A","2012",24.78815,
"ESP","UNEMP","TOT","PC_LF","A","2013",26.0919,
"ESP","UNEMP","TOT","PC_LF","A","2014",24.44284,
"ESP","UNEMP","TOT","PC_LF","A","2015",22.05655,
"SWE","UNEMP","TOT","PC_LF","A","2010",8.610753,
"SWE","UNEMP","TOT","PC_LF","A","2011",7.80387,
"SWE","UNEMP","TOT","PC_LF","A","2012",7.975423,
"SWE","UNEMP","TOT","PC_LF","A","2013",8.052903,
"SWE","UNEMP","TOT","PC_LF","A","2014",7.955972,
"SWE","UNEMP","TOT","PC_LF","A","2015",7.432082,
"GBR","UNEMP","TOT","PC_LF","A","2010",7.786648,
"GBR","UNEMP","TOT","PC_LF","A","2011",8.036335,
"GBR","UNEMP","TOT","PC_LF","A","2012",7.886268,
"GBR","UNEMP","TOT","PC_LF","A","2013",7.52635,
"GBR","UNEMP","TOT","PC_LF","A","2014",6.111898,
"GBR","UNEMP","TOT","PC_LF","A","2015",5.301425,
"EST","UNEMP","TOT","PC_LF","A","2010",16.70262,
"EST","UNEMP","TOT","PC_LF","A","2011",12.33337,
"EST","UNEMP","TOT","PC_LF","A","2012",10.02366,
"EST","UNEMP","TOT","PC_LF","A","2013",8.631536,
"EST","UNEMP","TOT","PC_LF","A","2014",7.355543,
"EST","UNEMP","TOT","PC_LF","A","2015",6.191967,
"SVN","UNEMP","TOT","PC_LF","A","2010",7.237447,
"SVN","UNEMP","TOT","PC_LF","A","2011",8.169436,
"SVN","UNEMP","TOT","PC_LF","A","2012",8.838806,
"SVN","UNEMP","TOT","PC_LF","A","2013",10.10859,
"SVN","UNEMP","TOT","PC_LF","A","2014",9.673278,
"SVN","UNEMP","TOT","PC_LF","A","2015",8.962607,
"LVA","UNEMP","TOT","PC_LF","A","2010",19.48375,
"LVA","UNEMP","TOT","PC_LF","A","2011",16.21216,
"LVA","UNEMP","TOT","PC_LF","A","2012",15.0552,
"LVA","UNEMP","TOT","PC_LF","A","2013",11.8683,
"LVA","UNEMP","TOT","PC_LF","A","2014",10.84309,
"LVA","UNEMP","TOT","PC_LF","A","2015",9.875636,
