"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-11-07 18:07:14 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
2009,"Russian Federation","Syrian Arab Rep.",4,3,,,,,,7
2009,Slovakia,"Syrian Arab Rep.",20,0,,,,,,20
2009,Sweden,"Syrian Arab Rep.",1118,594,,,,,,1712
2009,Turkey,"Syrian Arab Rep.",8,56,,,,,,64
2009,Ukraine,"Syrian Arab Rep.",42,54,,,,,,96
2010,Austria,"Syrian Arab Rep.",505,471,,,,,,976
2010,Belgium,"Syrian Arab Rep.",229,0,,,,,,229
2010,Bulgaria,"Syrian Arab Rep.",95,30,,,,,,125
2010,"Bosnia and Herzegovina","Syrian Arab Rep.",1,2,,,,,,3
2010,Switzerland,"Syrian Arab Rep.",694,859,,,,,,1553
2010,Cyprus,"Syrian Arab Rep.",125,242,,,,,,367
2010,"Czech Rep.","Syrian Arab Rep.",23,36,,,,,,59
2010,Germany,"Syrian Arab Rep.",10518,2690,,,,,,13208
2010,Denmark,"Syrian Arab Rep.",750,483,,,,,,1233
2010,Spain,"Syrian Arab Rep.",35,12,,,,,,47
2010,Finland,"Syrian Arab Rep.",59,23,,,,,,82
2010,France,"Syrian Arab Rep.",280,0,,,,,,280
2010,"United Kingdom","Syrian Arab Rep.",499,0,,,,,,499
2010,Greece,"Syrian Arab Rep.",16,2217,,,,,,2233
2010,Croatia,"Syrian Arab Rep.",,4,,,,,,4
2010,Hungary,"Syrian Arab Rep.",39,8,,,,,,47
2010,Ireland,"Syrian Arab Rep.",34,10,,,,,,44
2010,Iceland,"Syrian Arab Rep.",1,2,,,,,,3
2010,Italy,"Syrian Arab Rep.",211,29,,,,,,240
2010,Luxembourg,"Syrian Arab Rep.",,15,,,,,,15
2010,Malta,"Syrian Arab Rep.",33,3,,,,,,36
2010,Netherlands,"Syrian Arab Rep.",1186,133,,,,,,1319
2010,Norway,"Syrian Arab Rep.",186,192,,,,,,378
2010,Poland,"Syrian Arab Rep.",8,8,,,,,,16
2010,Romania,"Syrian Arab Rep.",21,13,,,,,,34
2010,"Russian Federation","Syrian Arab Rep.",5,3,,,,,,8
2010,Slovakia,"Syrian Arab Rep.",22,0,,,,,,22
2010,Sweden,"Syrian Arab Rep.",1169,371,,,,,,1540
2010,Turkey,"Syrian Arab Rep.",9,65,,,,,,74
2010,Ukraine,"Syrian Arab Rep.",42,96,,,,,,138
2011,Armenia,"Syrian Arab Rep.",6,2,,,,,,8
2011,Austria,"Syrian Arab Rep.",903,456,,,,,,1359
2011,Azerbaijan,"Syrian Arab Rep.",1,0,,,,,,1
2011,Belgium,"Syrian Arab Rep.",312,666,,,,,,978
2011,Bulgaria,"Syrian Arab Rep.",98,70,,,,,,168
2011,"Bosnia and Herzegovina","Syrian Arab Rep.",1,2,,,,,,3
2011,Switzerland,"Syrian Arab Rep.",1074,1066,,,,,,2140
2011,Cyprus,"Syrian Arab Rep.",137,345,,,,,,482
2011,"Czech Rep.","Syrian Arab Rep.",23,0,,,,,,23
2011,Germany,"Syrian Arab Rep.",10155,4713,,,,,,14868
2011,Denmark,"Syrian Arab Rep.",1197,93,,,,,,1290
2011,Spain,"Syrian Arab Rep.",32,0,,,,,,32
2011,Finland,"Syrian Arab Rep.",86,75,,,,,,161
2011,France,"Syrian Arab Rep.",351,0,,,,,,351
2011,"United Kingdom","Syrian Arab Rep.",693,339,,,,,,1032
2011,Greece,"Syrian Arab Rep.",10,0,,,,,,10
2011,Croatia,"Syrian Arab Rep.",,4,,,,,,4
2011,Hungary,"Syrian Arab Rep.",42,0,,,,,,42
2011,Ireland,"Syrian Arab Rep.",27,18,,,,,,45
2011,Iceland,"Syrian Arab Rep.",1,0,,,,,,1
2011,Italy,"Syrian Arab Rep.",262,0,,,,,,262
2011,Kazakhstan,"Syrian Arab Rep.",,2,,,,,,2
2011,Latvia,"Syrian Arab Rep.",4,11,,,,,,15
2011,Malta,"Syrian Arab Rep.",80,72,,,,,,152
2011,Netherlands,"Syrian Arab Rep.",1064,231,,,,,,1295
2011,Norway,"Syrian Arab Rep.",171,336,,,,,,507
2011,Poland,"Syrian Arab Rep.",10,10,,,,,,20
2011,Romania,"Syrian Arab Rep.",20,27,,,,,,47
2011,"Russian Federation","Syrian Arab Rep.",4,12,,,,,,16
2011,Slovakia,"Syrian Arab Rep.",23,0,,,,,,23
2011,Slovenia,"Syrian Arab Rep.",,6,,,,,,6
2011,Sweden,"Syrian Arab Rep.",1206,485,,,,,,1691
2011,Turkey,"Syrian Arab Rep.",19,205,,,,,9270,9494
2011,Ukraine,"Syrian Arab Rep.",43,176,,,,,,219
2012,Albania,"Syrian Arab Rep.",,3,,,,,,3
2012,Armenia,"Syrian Arab Rep.",136,340,,,,,5500,5976
2012,Austria,"Syrian Arab Rep.",1675,694,,,,,,2369
2012,Azerbaijan,"Syrian Arab Rep.",3,6,,,,,,9
2012,Belgium,"Syrian Arab Rep.",355,938,,,,,,1293
2012,Bulgaria,"Syrian Arab Rep.",97,0,,,,,,97
2012,"Bosnia and Herzegovina","Syrian Arab Rep.",5,26,,,,,,31
2012,Belarus,"Syrian Arab Rep.",,11,,,,,,11
2012,Switzerland,"Syrian Arab Rep.",1391,1692,,,,,,3083
2012,Cyprus,"Syrian Arab Rep.",139,946,,,,,,1085
2012,"Czech Rep.","Syrian Arab Rep.",54,70,,,,,,124
2012,Germany,"Syrian Arab Rep.",18165,5986,,,,,,24151
2012,Denmark,"Syrian Arab Rep.",1903,115,,,,,,2018
2012,Spain,"Syrian Arab Rep.",32,320,,,,,,352
2012,Finland,"Syrian Arab Rep.",218,110,,,,,,328
2012,France,"Syrian Arab Rep.",640,0,,,,,,640
2012,"United Kingdom","Syrian Arab Rep.",1717,389,,,,,,2106
2012,Georgia,"Syrian Arab Rep.",141,16,,,,,,157
2012,Greece,"Syrian Arab Rep.",20,0,,,,,,20
2012,Croatia,"Syrian Arab Rep.",12,40,,,,,,52
2012,Hungary,"Syrian Arab Rep.",86,0,,,,,,86
2012,Ireland,"Syrian Arab Rep.",38,15,,,,,,53
2012,Iceland,"Syrian Arab Rep.",2,2,,,,,,4
2012,Italy,"Syrian Arab Rep.",445,507,,,,,,952
2012,Kazakhstan,"Syrian Arab Rep.",,12,,,,,,12
2012,Latvia,"Syrian Arab Rep.",17,15,,,,,,32
2012,Malta,"Syrian Arab Rep.",191,139,,,,,,330
2012,Montenegro,"Syrian Arab Rep.",,7,,,,,,7
2012,Netherlands,"Syrian Arab Rep.",1449,231,,,,,,1680
2012,Norway,"Syrian Arab Rep.",565,306,,,,,,871
2012,Poland,"Syrian Arab Rep.",17,83,,,,,,100
2012,Portugal,"Syrian Arab Rep.",,9,,,,,,9
2012,Romania,"Syrian Arab Rep.",152,10,,,,,,162
2012,"Russian Federation","Syrian Arab Rep.",53,91,,,,,1400,1544
2012,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",,49,,,,,,49
2012,Slovakia,"Syrian Arab Rep.",24,0,,,,,,24
2012,Slovenia,"Syrian Arab Rep.",2,8,,,,,,10
2012,Sweden,"Syrian Arab Rep.",6051,3751,,,,,,9802
2012,Turkey,"Syrian Arab Rep.",248466,200,68573,,,,,317239
2012,Ukraine,"Syrian Arab Rep.",63,453,,,,,,516
2013,Albania,"Syrian Arab Rep.",,15,,,,,,15
2013,Armenia,"Syrian Arab Rep.",11090,42,,,,,,11132
2013,Austria,"Syrian Arab Rep.",2748,1561,,,,,,4309
2013,Azerbaijan,"Syrian Arab Rep.",9,6,,,,,,15
2013,Belgium,"Syrian Arab Rep.",1987,378,,,,,,2365
2013,Bulgaria,"Syrian Arab Rep.",2104,2500,,,,,,4604
2013,"Bosnia and Herzegovina","Syrian Arab Rep.",48,18,,,,,,66
2013,Belarus,"Syrian Arab Rep.",35,25,,,,,,60
2013,Switzerland,"Syrian Arab Rep.",2012,2849,,,,,,4861
2013,Cyprus,"Syrian Arab Rep.",316,1319,,,,,,1635
2013,"Czech Rep.","Syrian Arab Rep.",149,25,,,,,,174
2013,Germany,"Syrian Arab Rep.",21253,10566,,,,,,31819
2013,Denmark,"Syrian Arab Rep.",3271,86,,,,,,3357
2013,Spain,"Syrian Arab Rep.",180,743,,,,,,923
2013,Estonia,"Syrian Arab Rep.",2,10,,,,,,12
2013,Finland,"Syrian Arab Rep.",352,77,,,,,,429
2013,France,"Syrian Arab Rep.",1474,343,,,,,,1817
2013,"United Kingdom","Syrian Arab Rep.",3169,641,,,,,,3810
2013,Georgia,"Syrian Arab Rep.",516,26,,,,,,542
2013,Greece,"Syrian Arab Rep.",195,1665,,,,,8000,9860
2013,Croatia,"Syrian Arab Rep.",22,37,,,,,,59
2013,Hungary,"Syrian Arab Rep.",141,184,,,,,,325
2013,Ireland,"Syrian Arab Rep.",71,15,,,,,,86
2013,Iceland,"Syrian Arab Rep.",7,11,,,,,,18
2013,Italy,"Syrian Arab Rep.",840,278,,,,,,1118
2013,Kazakhstan,"Syrian Arab Rep.",7,22,,,,,,29
2013,Luxembourg,"Syrian Arab Rep.",5,23,,,,,,28
2013,Latvia,"Syrian Arab Rep.",33,12,,,,,,45
2013,Malta,"Syrian Arab Rep.",776,102,,,,,,878
2013,Montenegro,"Syrian Arab Rep.",,60,,,,,,60
2013,Netherlands,"Syrian Arab Rep.",3404,0,,,,,,3404
2013,Norway,"Syrian Arab Rep.",1311,259,,,,,,1570
2013,Poland,"Syrian Arab Rep.",108,100,,,,,,208
2013,Portugal,"Syrian Arab Rep.",14,8,,,,,,22
2013,Romania,"Syrian Arab Rep.",932,91,,,,,,1023
2013,"Russian Federation","Syrian Arab Rep.",1163,839,,,,,1400,3402
2013,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",3,60,,,,,,63
2013,Slovakia,"Syrian Arab Rep.",26,0,,,,,,26
2013,Slovenia,"Syrian Arab Rep.",9,2,,,,,,11
2013,Sweden,"Syrian Arab Rep.",17984,6808,,,,,,24792
2013,Turkey,"Syrian Arab Rep.",585601,110,140756,,,,,726467
2013,Ukraine,"Syrian Arab Rep.",167,591,,,,,,758
2014,Albania,"Syrian Arab Rep.",*,8,,,,,,8
2014,Armenia,"Syrian Arab Rep.",14994,9,,,,,,15003
2014,Austria,"Syrian Arab Rep.",2748,0,,,,,,2748
2014,Azerbaijan,"Syrian Arab Rep.",7,7,,,,,,14
2014,Belgium,"Syrian Arab Rep.",2620,733,,,,,,3353
2014,Bulgaria,"Syrian Arab Rep.",8501,2510,,,,,,11011
2014,"Bosnia and Herzegovina","Syrian Arab Rep.",25,*,,,,,,25
2014,Belarus,"Syrian Arab Rep.",72,48,,,,,,120
2014,Switzerland,"Syrian Arab Rep.",5161,3501,,,,,,8662
2014,Cyprus,"Syrian Arab Rep.",1451,1109,,,,,,2560
2014,"Czech Rep.","Syrian Arab Rep.",236,54,,,,,,290
2014,Germany,"Syrian Arab Rep.",40994,29591,,,,,,70585
2014,Denmark,"Syrian Arab Rep.",7253,1468,,,,,,8721
2014,Spain,"Syrian Arab Rep.",1336,781,,,,,,2117
2014,Estonia,"Syrian Arab Rep.",6,*,,,,,,6
2014,Finland,"Syrian Arab Rep.",438,55,,,,,,493
2014,France,"Syrian Arab Rep.",2882,1239,,,,,,4121
2014,"United Kingdom","Syrian Arab Rep.",4572,1329,,,,,,5901
2014,Georgia,"Syrian Arab Rep.",471,34,,,,,,505
2014,Greece,"Syrian Arab Rep.",3913,182,,,,,,4095
2014,Croatia,"Syrian Arab Rep.",22,6,,,,,,28
2014,Hungary,"Syrian Arab Rep.",334,823,,,,,,1157
2014,Ireland,"Syrian Arab Rep.",176,11,,,,,,187
2014,Iceland,"Syrian Arab Rep.",7,5,,,,,,12
2014,Italy,"Syrian Arab Rep.",1144,331,,,,,,1475
2014,Kazakhstan,"Syrian Arab Rep.",14,28,,,,,,42
2014,Liechtenstein,"Syrian Arab Rep.",5,0,,,,,,5
2014,Luxembourg,"Syrian Arab Rep.",59,60,,,,,,119
2014,Latvia,"Syrian Arab Rep.",52,17,,,,,,69
2014,Malta,"Syrian Arab Rep.",1047,34,,,,,,1081
2014,Montenegro,"Syrian Arab Rep.",,36,,,,,,36
2014,Netherlands,"Syrian Arab Rep.",8692,2323,,,,,,11015
2014,Norway,"Syrian Arab Rep.",2568,828,,,,,,3396
2014,Poland,"Syrian Arab Rep.",240,34,,,,,,274
2014,Portugal,"Syrian Arab Rep.",15,15,,,,,,30
2014,Romania,"Syrian Arab Rep.",1278,114,,,,,,1392
2014,"Russian Federation","Syrian Arab Rep.",1927,413,,,,,,2340
2014,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",6,238,,,,,,244
2014,Slovakia,"Syrian Arab Rep.",40,0,,,,,,40
2014,Slovenia,"Syrian Arab Rep.",20,8,,,,,,28
2014,Sweden,"Syrian Arab Rep.",34285,19011,,,,,,53296
2014,Turkey,"Syrian Arab Rep.",1557899,250,,,,,,1558149
2014,Ukraine,"Syrian Arab Rep.",341,594,,,,,,935
2015,Armenia,"Syrian Arab Rep.",16611,12,0,0,0,0,0,16623
2015,Austria,"Syrian Arab Rep.",14894,18669,0,0,0,0,0,33563
2015,Azerbaijan,"Syrian Arab Rep.",8,8,*,0,0,0,0,16
2015,Belgium,"Syrian Arab Rep.",4239,3870,0,0,0,0,0,8109
2015,Bulgaria,"Syrian Arab Rep.",13819,1683,0,0,0,0,0,15502
2015,"Bosnia and Herzegovina","Syrian Arab Rep.",14,*,0,0,0,0,0,14
2015,Belarus,"Syrian Arab Rep.",138,7,0,0,0,0,0,145
2015,Switzerland,"Syrian Arab Rep.",8695,4462,0,0,0,0,0,13157
2015,Cyprus,"Syrian Arab Rep.",3110,692,0,0,0,0,6000,9802
2015,"Czech Rep.","Syrian Arab Rep.",365,42,0,0,0,0,0,407
2015,Germany,"Syrian Arab Rep.",115604,81582,0,0,0,0,0,197186
2015,Denmark,"Syrian Arab Rep.",12988,825,0,0,0,0,0,13813
2015,Spain,"Syrian Arab Rep.",1336,3280,0,0,0,0,0,4616
2015,Estonia,"Syrian Arab Rep.",6,0,0,0,0,0,0,6
2015,Finland,"Syrian Arab Rep.",565,705,0,0,0,0,0,1270
2015,France,"Syrian Arab Rep.",5179,2711,0,0,0,0,0,7890
2015,"United Kingdom","Syrian Arab Rep.",6496,1648,0,0,0,0,0,8144
2015,Georgia,"Syrian Arab Rep.",475,9,0,0,0,0,0,484
2015,Greece,"Syrian Arab Rep.",9101,448,0,0,0,0,0,9549
2015,Croatia,"Syrian Arab Rep.",23,*,0,0,0,0,0,23
2015,Hungary,"Syrian Arab Rep.",476,18607,0,0,0,0,0,19083
2015,Ireland,"Syrian Arab Rep.",109,51,0,0,0,0,0,160
2015,Iceland,"Syrian Arab Rep.",37,*,0,0,0,0,0,37
2015,Italy,"Syrian Arab Rep.",1460,246,0,0,0,0,0,1706
2015,Kazakhstan,"Syrian Arab Rep.",23,16,0,0,0,0,0,39
2015,Liechtenstein,"Syrian Arab Rep.",23,*,0,0,0,0,0,23
2015,Luxembourg,"Syrian Arab Rep.",177,591,0,0,0,0,0,768
2015,Latvia,"Syrian Arab Rep.",65,*,0,0,0,0,0,65
2015,Malta,"Syrian Arab Rep.",1328,160,0,0,0,0,0,1488
2015,Netherlands,"Syrian Arab Rep.",16184,12718,0,0,0,0,0,28902
2015,Norway,"Syrian Arab Rep.",4121,9128,0,0,0,0,0,13249
2015,Poland,"Syrian Arab Rep.",445,36,0,0,0,0,0,481
2015,Portugal,"Syrian Arab Rep.",15,15,0,0,0,0,0,30
2015,Romania,"Syrian Arab Rep.",1591,96,0,0,0,0,0,1687
2015,"Russian Federation","Syrian Arab Rep.",1304,393,0,0,0,0,0,1697
2015,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",11,0,0,0,0,0,0,11
2015,Slovakia,"Syrian Arab Rep.",47,0,0,0,0,0,0,47
2015,Slovenia,"Syrian Arab Rep.",30,9,0,0,0,0,0,39
2015,Sweden,"Syrian Arab Rep.",52707,49286,0,0,0,0,0,101993
2015,Turkey,"Syrian Arab Rep.",2503549,297,0,0,0,0,0,2503846
2015,Ukraine,"Syrian Arab Rep.",399,566,0,0,0,0,0,965
