Year;Country;Count
2001;BosniaandHerzegovina;2
2001;Belarus;3
2001;Switzerland;342
2001;Cyprus;30
2001;CzechRepublic;23
2001;Germany;1152
2001;Denmark;237
2001;Spain;20
2001;Estonia;4
2001;Finland;32
2001;France;192
2001;Greece;45
2001;Hungary;10
2001;Ireland;9
2001;Iceland;1
2001;Italy;22
2001;Kazakhstan;1
2001;Malta;2
2001;Netherlands;3282
2001;Norway;105
2001;Poland;16
2001;Romania;16
2001;Serbia;1
2001;Slovakia;9
2001;Sweden;1268
2001;Turkey;8
2001;Ukraine;52
2002;Austria;61
2002;Azerbaijan;1
2002;Belgium;31
2002;Bulgaria;61
2002;BosniaandHerzegovina;1
2002;Belarus;2
2002;Switzerland;434
2002;Cyprus;27
2002;CzechRepublic;17
2002;Germany;15677
2002;Denmark;229
2002;Spain;20
2002;Finland;25
2002;France;207
2002;Greece;59
2002;Hungary;20
2002;Ireland;13
2002;Iceland;1
2002;Italy;36
2002;Malta;4
2002;Netherlands;2710
2002;Norway;107
2002;Poland;17
2002;Romania;19
2002;Slovakia;5
2002;Sweden;1841
2002;Turkey;11
2002;Ukraine;45
2003;Armenia;3
2003;Austria;61
2003;Azerbaijan;1
2003;Belgium;189
2003;Bulgaria;65
2003;BosniaandHerzegovina;2
2003;Belarus;2
2003;Switzerland;313
2003;Cyprus;57
2003;CzechRepublic;17
2003;Germany;16448
2003;Denmark;200
2003;Spain;15
2003;Finland;34
2003;France;191
2003;UnitedKingdom;16
2003;Greece;67
2003;Hungary;29
2003;Ireland;31
2003;Iceland;1
2003;Italy;35
2003;Malta;7
2003;Netherlands;2319
2003;Norway;93
2003;Poland;19
2003;Romania;25
2003;Slovakia;43
2003;Sweden;1934
2003;Turkey;8
2003;Ukraine;66
2004;Austria;75
2004;Azerbaijan;2
2004;Belgium;333
2004;Bulgaria;74
2004;BosniaandHerzegovina;2
2004;Belarus;3
2004;Switzerland;285
2004;Cyprus;558
2004;CzechRepublic;14
2004;Germany;16659
2004;Denmark;195
2004;Spain;21
2004;Finland;40
2004;France;205
2004;UnitedKingdom;44
2004;Greece;78
2004;Hungary;33
2004;Ireland;39
2004;Iceland;1
2004;Italy;41
2004;Malta;12
2004;Netherlands;2137
2004;Norway;132
2004;Poland;9
2004;Romania;26
2004;Slovakia;16
2004;Sweden;1546
2004;Turkey;14
2004;Ukraine;83
2005;Austria;122
2005;Azerbaijan;3
2005;Belgium;524
2005;Bulgaria;78
2005;BosniaandHerzegovina;1
2005;Belarus;1
2005;Switzerland;385
2005;Cyprus;1577
2005;CzechRepublic;25
2005;Germany;13357
2005;Denmark;200
2005;Spain;21
2005;Finland;39
2005;France;213
2005;UnitedKingdom;208
2005;Greece;78
2005;Hungary;49
2005;Ireland;27
2005;Iceland;1
2005;Italy;47
2005;Malta;14
2005;Netherlands;2010
2005;Norway;144
2005;Poland;13
2005;Romania;27
2005;Slovakia;10
2005;Sweden;1399
2005;Turkey;19
2005;Ukraine;80
2006;Armenia;2
2006;Austria;457
2006;Azerbaijan;1
2006;Belgium;253
2006;Bulgaria;79
2006;BosniaandHerzegovina;1
2006;Switzerland;505
2006;Cyprus;2511
2006;CzechRepublic;45
2006;Germany;7962
2006;Denmark;224
2006;Spain;21
2006;Finland;54
2006;France;216
2006;UnitedKingdom;286
2006;Greece;61
2006;Hungary;60
2006;Ireland;41
2006;Iceland;1
2006;Italy;62
2006;Malta;11
2006;Netherlands;1921
2006;Norway;228
2006;Poland;9
2006;Romania;36
2006;Slovakia;10
2006;Sweden;1527
2006;Turkey;7
2006;Ukraine;71
2007;Armenia;2
2007;Austria;581
2007;Azerbaijan;1
2007;Belgium;114
2007;Bulgaria;85
2007;BosniaandHerzegovina;2
2007;Switzerland;729
2007;Cyprus;2327
2007;CzechRepublic;33
2007;Germany;8410
2007;Denmark;261
2007;Spain;21
2007;Finland;51
2007;France;217
2007;UnitedKingdom;364
2007;Greece;439
2007;Hungary;68
2007;Ireland;47
2007;Iceland;2
2007;Italy;84
2007;Malta;11
2007;Netherlands;1421
2007;Norway;235
2007;Poland;12
2007;Romania;32
2007;Russia;1
2007;Slovakia;14
2007;Sweden;1625
2007;Turkey;24
2007;Ukraine;65
2008;Austria;690
2008;Belgium;152
2008;Bulgaria;90
2008;BosniaandHerzegovina;2
2008;Switzerland;1201
2008;Cyprus;1080
2008;CzechRepublic;54
2008;Germany;9623
2008;Denmark;302
2008;Spain;34
2008;Finland;65
2008;France;233
2008;UnitedKingdom;395
2008;Greece;166
2008;Hungary;75
2008;Ireland;52
2008;Iceland;3
2008;Italy;110
2008;Latvia;3
2008;Malta;11
2008;Netherlands;1326
2008;Norway;276
2008;Poland;12
2008;Romania;31
2008;Russia;6
2008;Slovakia;14
2008;Sweden;1701
2008;Turkey;33
2008;Ukraine;86
2009;Austria;880
2009;Belgium;177
2009;Bulgaria;100
2009;BosniaandHerzegovina;3
2009;Switzerland;1384
2009;Cyprus;499
2009;CzechRepublic;71
2009;Germany;12028
2009;Denmark;544
2009;Spain;33
2009;Finland;83
2009;France;244
2009;UnitedKingdom;460
2009;Greece;19
2009;Hungary;46
2009;Ireland;40
2009;Iceland;1
2009;Italy;190
2009;Malta;25
2009;Netherlands;1352
2009;Norway;449
2009;Poland;11
2009;Romania;30
2009;Russia;7
2009;Slovakia;20
2009;Sweden;1712
2009;Turkey;64
2009;Ukraine;96
2010;Austria;976
2010;Belgium;229
2010;Bulgaria;125
2010;BosniaandHerzegovina;3
2010;Switzerland;1553
2010;Cyprus;367
2010;CzechRepublic;59
2010;Germany;13208
2010;Denmark;1233
2010;Spain;47
2010;Finland;82
2010;France;280
2010;UnitedKingdom;499
2010;Greece;2233
2010;Croatia;4
2010;Hungary;47
2010;Ireland;44
2010;Iceland;3
2010;Italy;240
2010;Luxembourg;15
2010;Malta;36
2010;Netherlands;1319
2010;Norway;378
2010;Poland;16
2010;Romania;34
2010;Russia;8
2010;Slovakia;22
2010;Sweden;1540
2010;Turkey;74
2010;Ukraine;138
2011;Armenia;8
2011;Austria;1359
2011;Azerbaijan;1
2011;Belgium;978
2011;Bulgaria;168
2011;BosniaandHerzegovina;3
2011;Switzerland;2140
2011;Cyprus;482
2011;CzechRepublic;23
2011;Germany;14868
2011;Denmark;1290
2011;Spain;32
2011;Finland;161
2011;France;351
2011;UnitedKingdom;1032
2011;Greece;10
2011;Croatia;4
2011;Hungary;42
2011;Ireland;45
2011;Iceland;1
2011;Italy;262
2011;Kazakhstan;2
2011;Latvia;15
2011;Malta;152
2011;Netherlands;1295
2011;Norway;507
2011;Poland;20
2011;Romania;47
2011;Russia;16
2011;Slovakia;23
2011;Slovenia;6
2011;Sweden;1691
2011;Turkey;9494
2011;Ukraine;219
2012;Albania;3
2012;Armenia;5976
2012;Austria;2369
2012;Azerbaijan;9
2012;Belgium;1293
2012;Bulgaria;97
2012;BosniaandHerzegovina;31
2012;Belarus;11
2012;Switzerland;3083
2012;Cyprus;1085
2012;CzechRepublic;124
2012;Germany;24151
2012;Denmark;2018
2012;Spain;352
2012;Finland;328
2012;France;640
2012;UnitedKingdom;2106
2012;Georgia;157
2012;Greece;20
2012;Croatia;52
2012;Hungary;86
2012;Ireland;53
2012;Iceland;4
2012;Italy;952
2012;Kazakhstan;12
2012;Latvia;32
2012;Malta;330
2012;Montenegro;7
2012;Netherlands;1680
2012;Norway;871
2012;Poland;100
2012;Portugal;9
2012;Romania;162
2012;Russia;1544
2012;Serbia;49
2012;Slovakia;24
2012;Slovenia;10
2012;Sweden;9802
2012;Turkey;317239
2012;Ukraine;516
2013;Albania;15
2013;Armenia;11132
2013;Austria;4309
2013;Azerbaijan;15
2013;Belgium;2365
2013;Bulgaria;4604
2013;BosniaandHerzegovina;66
2013;Belarus;60
2013;Switzerland;4861
2013;Cyprus;1635
2013;CzechRepublic;174
2013;Germany;31819
2013;Denmark;3357
2013;Spain;923
2013;Estonia;12
2013;Finland;429
2013;France;1817
2013;UnitedKingdom;3810
2013;Georgia;542
2013;Greece;9860
2013;Croatia;59
2013;Hungary;325
2013;Ireland;86
2013;Iceland;18
2013;Italy;1118
2013;Kazakhstan;29
2013;Luxembourg;28
2013;Latvia;45
2013;Malta;878
2013;Montenegro;60
2013;Netherlands;3404
2013;Norway;1570
2013;Poland;208
2013;Portugal;22
2013;Romania;1023
2013;Russia;3402
2013;Serbia;63
2013;Slovakia;26
2013;Slovenia;11
2013;Sweden;24792
2013;Turkey;726467
2013;Ukraine;758
2014;Albania;8
2014;Armenia;15003
2014;Austria;2748
2014;Azerbaijan;14
2014;Belgium;3353
2014;Bulgaria;11011
2014;BosniaandHerzegovina;25
2014;Belarus;120
2014;Switzerland;8662
2014;Cyprus;2560
2014;CzechRepublic;290
2014;Germany;70585
2014;Denmark;8721
2014;Spain;2117
2014;Estonia;6
2014;Finland;493
2014;France;4121
2014;UnitedKingdom;5901
2014;Georgia;505
2014;Greece;4095
2014;Croatia;28
2014;Hungary;1157
2014;Ireland;187
2014;Iceland;12
2014;Italy;1475
2014;Kazakhstan;42
2014;Liechtenstein;5
2014;Luxembourg;119
2014;Latvia;69
2014;Malta;1081
2014;Montenegro;36
2014;Netherlands;11015
2014;Norway;3396
2014;Poland;274
2014;Portugal;30
2014;Romania;1392
2014;Russia;2340
2014;Serbia;244
2014;Slovakia;40
2014;Slovenia;28
2014;Sweden;53296
2014;Turkey;1558149
2014;Ukraine;935
2015;Armenia;16623
2015;Austria;33563
2015;Azerbaijan;16
2015;Belgium;8109
2015;Bulgaria;15502
2015;BosniaandHerzegovina;14
2015;Belarus;145
2015;Switzerland;13157
2015;Cyprus;9802
2015;CzechRepublic;407
2015;Germany;197186
2015;Denmark;13813
2015;Spain;4616
2015;Estonia;6
2015;Finland;1270
2015;France;7890
2015;UnitedKingdom;8144
2015;Georgia;484
2015;Greece;9549
2015;Croatia;23
2015;Hungary;19083
2015;Ireland;160
2015;Iceland;37
2015;Italy;1706
2015;Kazakhstan;39
2015;Liechtenstein;23
2015;Luxembourg;768
2015;Latvia;65
2015;Malta;1488
2015;Netherlands;28902
2015;Norway;13249
2015;Poland;481
2015;Portugal;30
2015;Romania;1687
2015;Russia;1697
2015;Serbia;11
2015;Slovakia;47
2015;Slovenia;39
2015;Sweden;101993
2015;Turkey;2503846
2015;Ukraine;965
